_key,title,partnership,long,lat
restaurant1,얌샘김밥,만원이상 결제시 5% 할인,35.8435090679113,127.12648704784408
restaurant2,도야생곱창갈비,2만원 이상 주문시 주먹밥 서비스,35.845822229654345,127.1250705696293
restaurant3,엽기떡볶이,14000원 이상 주문시 쿨피스 & 김말이 서비스,35.844227861754604,127.12656018837488
restaurant4,동창야채닭갈비,2인 주문시 음료수 한 병 & 3인이상 주문시 라면 & 우동 & 하얀떡사리선택,35.842195531892976,127.1301439049935
restaurant5,bhc,홀 & 방문 포장 2만원 이상 치즈볼 2알 & 치킨 두 마리이상 결제 시 치즈볼 3알 서비스,35.84443111827358,127.1262765100908
restaurant6,전주현대옥,3인이상 음료수 or 오징어 사리 선택,35.844587,127.124045
restaurant7,청년다방,치즈사리 추가 or 다른 사리로 1개 교환 가능,35.843025623954105,127.1279345883258
restaurant8,충만치킨,현금 결제 시 테이블당 천원할인,35.843629,127.126620
restaurant9,피자게이트,현금 결제 시 결제금액의 5%에 해당하는 서비스,35.843678,127.137964
restaurant10,홍콩반점,탕수육 천원 할인,35.844430,127.124952
restaurant11,깡통집,현금 또는 계좌이체 10%할인 or 테이블 당 볶음밥 서비스,35.841743,127.132927
restaurant12,닭터닭갈비,3인 이상 주문 시 치즈사리 서비스,35.84267584188084,127.12794013947641
restaurant13,대학오겹살,대학삼겹살 3인분 이상 주문 시 된장찌개 서비스,35.844214,127.126301
restaurant14,수니네 감자탕,현금 결제 시 주류 1000원 할인,35.842776,127.127945
restaurant15,팬텀팬피그,개인:점심 한정 기존가격 10% 할인 & 단체:special upgrade & 단체 예약시 주류 2500,35,127
restaurant16,국밥세상&막국수,국밥 한 그릇 당 500원 할인,35.84659730159502,127.12582525842797
restaurant17,길손네,닭도리탕 주문시 천원 할인(반마리도 가능),35.84434061581423,127.1269721080453
restaurant18,덕일관,현금결제시 10%할인,35.844333,127.126729
restaurant19,또또분식,국밥 한 그릇 당 500원 할인,35.842551,127.135446
restaurant20,라화쿵푸,-5%할인,35.844058,127.127100
restaurant21,마이마이 치킨,홀 기본 떡사리 추가 & 현금결제시 마리당 2000원 할인 or 주류 한병당 1000원 할인 & 동전관 1 & 2 학생회관에서 배달시 떡사리 추가 & 두마리 이상 주문시 음료 대,35.844547,127.126234
restaurant22,본죽&비빔밥,500원 할인,35.84531432269153,127.12563003892633
restaurant23,서래,현금결제시 접시당 한접시 1500원 & 반 접시 500원 할인,35.842835,127.128263
restaurant24,신포우리만두,3만원 이상 결제시 10%할인,35.844314,127.126202

